run_id,epsilon,mechanism,tpr_mia,inversion_rouge_l_mean,probe_rouge_l_mean,bert_precision,bert_recall,bert_f1
0,inf,Baseline,0.0017142857142857142,1.0,0.09875919838633734,1.0,1.0,1.0
0,0.1,Central,0.0,0.2132069856268119,0.029410172655728636,0.8324024677276611,0.8303202986717224,0.8312489986419678
0,0.1,Local,0.002857142857142857,0.20662406208589845,0.09043296751340081,0.8322308659553528,0.8306404948234558,0.8313218355178833
0,0.1,Metric,0.0,0.25407437013250883,0.035627535345973634,0.8430459499359131,0.8430889248847961,0.8429630994796753
0,1.0,Central,0.0,0.21262683508933133,0.031570574358659675,0.832327127456665,0.830704927444458,0.8313934206962585
0,1.0,Local,0.0034285714285714284,0.2149576042635712,0.09035405534163089,0.831499457359314,0.8305704593658447,0.8309217095375061
0,1.0,Metric,0.0,0.25828104138366753,0.040857931510775734,0.8497302532196045,0.8500651717185974,0.8498044610023499
0,5.0,Central,0.0,0.2068097867576286,0.03180684842769187,0.8327550888061523,0.830824077129364,0.831678569316864
0,5.0,Local,0.0,0.2083507432962988,0.08864834313159321,0.8312087059020996,0.8307604193687439,0.8308781981468201
0,5.0,Metric,0.0005714285714285715,0.5427670156824544,0.08111704164758049,0.9159079194068909,0.9165070652961731,0.916155993938446
0,10.0,Central,0.0,0.2108158743267964,0.03546079702378284,0.8330967426300049,0.8320030570030212,0.8324369192123413
0,10.0,Local,0.0005714285714285715,0.20736873821823298,0.0920791594380952,0.8328390121459961,0.8298544883728027,0.8312324285507202
0,10.0,Metric,0.002285714285714286,0.9620116762694909,0.09102336684749668,0.9906150102615356,0.990698516368866,0.9906518459320068
1,0.1,Central,0.0,0.2124668463703473,0.030327244735700053,0.8320688009262085,0.8301584720611572,0.830998420715332
1,0.1,Local,0.0005714285714285715,0.20555298410601527,0.09149375851008233,0.8319658041000366,0.8299492001533508,0.8308494091033936
1,0.1,Metric,0.0,0.2182272652959401,0.03363408884484726,0.8432905077934265,0.84368497133255,0.8433817028999329
1,1.0,Central,0.0,0.2088079802101693,0.0322947619189542,0.8326588869094849,0.8305813074111938,0.8315028548240662
1,1.0,Local,0.001142857142857143,0.20802436586826367,0.0911421998521481,0.8327127695083618,0.830298125743866,0.8313894867897034
1,1.0,Metric,0.0,0.242578792067827,0.04198437944585432,0.8491659164428711,0.8498153686523438,0.8493952751159668
1,5.0,Central,0.0,0.2048593616801051,0.03194130012380713,0.8329405188560486,0.8313839435577393,0.8320454955101013
1,5.0,Local,0.0,0.20904370042309262,0.09014715918793996,0.8317829966545105,0.8302654027938843,0.8309100270271301
1,5.0,Metric,0.001142857142857143,0.6080586482257514,0.07935676561777216,0.9129260778427124,0.913447380065918,0.9131335616111755
1,10.0,Central,0.0,0.22085173004537,0.033831038393751955,0.8334801197052002,0.8318693041801453,0.8325616121292114
1,10.0,Local,0.0,0.206321650635956,0.09043830106359599,0.8323118090629578,0.8303830623626709,0.8312345743179321
1,10.0,Metric,0.001142857142857143,0.9374246278720963,0.09144297568062595,0.9923813939094543,0.9925085306167603,0.9924401044845581
2,0.1,Central,0.0,0.20324328776128756,0.03166366372431837,0.8317089080810547,0.8305360078811646,0.8310111165046692
2,0.1,Local,0.0005714285714285715,0.2100215670835929,0.0892314551900517,0.8317874670028687,0.8309857249259949,0.8312829732894897
2,0.1,Metric,0.0,0.24807318475936507,0.032166910516907156,0.8427351713180542,0.8428345918655396,0.8426795601844788
2,1.0,Central,0.0,0.20854684691408135,0.030970786459897037,0.832059383392334,0.8305959701538086,0.8312127590179443
2,1.0,Local,0.0,0.20884392405360547,0.08858454218117272,0.8326534032821655,0.8302617073059082,0.8313366174697876
2,1.0,Metric,0.0,0.24832376931538785,0.04138384597620225,0.8496072888374329,0.8499587178230286,0.8496877551078796
2,5.0,Central,0.0,0.22358575721559937,0.03207234925830734,0.8330490589141846,0.8313533067703247,0.832086443901062
2,5.0,Local,0.0005714285714285715,0.2149604435957733,0.0915562862732928,0.8327049612998962,0.8304389119148254,0.831447422504425
2,5.0,Metric,0.0005714285714285715,0.5363386905156452,0.0781445044830489,0.9162232875823975,0.9168952107429504,0.9165052771568298
2,10.0,Central,0.0,0.21173375208518436,0.03485691453773166,0.8335816264152527,0.8318977355957031,0.8326287865638733
2,10.0,Local,0.0017142857142857142,0.21019403900628952,0.08941077540745189,0.8324301838874817,0.829862654209137,0.8310259580612183
2,10.0,Metric,0.001142857142857143,0.961446263853488,0.09167971586766041,0.992309033870697,0.9924271106719971,0.9923633933067322
3,0.1,Central,0.0,0.20853525788166358,0.031526929141385836,0.8317116498947144,0.8305037617683411,0.8309929966926575
3,0.1,Local,0.001142857142857143,0.21078994813500856,0.0913253175277455,0.8315646052360535,0.8304852843284607,0.8309088349342346
3,0.1,Metric,0.0,0.2320765897814887,0.03385729149933402,0.8431982398033142,0.8431196808815002,0.8430556058883667
3,1.0,Central,0.0,0.2069025467454193,0.030802898633034106,0.8322793841362,0.8306353092193604,0.8313463926315308
3,1.0,Local,0.001142857142857143,0.21241752684443335,0.09015926414466396,0.8317806720733643,0.8305521011352539,0.8310570120811462
3,1.0,Metric,0.0,0.26933185561863526,0.04418317933214733,0.8502631783485413,0.8506734371185303,0.8503726124763489
3,5.0,Central,0.0,0.209277565000834,0.03106054625471937,0.8329967856407166,0.8308196067810059,0.8317904472351074
3,5.0,Local,0.001142857142857143,0.20856755293571194,0.09376440473762536,0.8322833180427551,0.8297028541564941,0.8308683633804321
3,5.0,Metric,0.0017142857142857142,0.5809558350169628,0.07928284306008043,0.9154762625694275,0.9157883524894714,0.9155772924423218
3,10.0,Central,0.0,0.21931264327957822,0.03380877382136069,0.8337038159370422,0.832104504108429,0.8327934145927429
3,10.0,Local,0.001142857142857143,0.2099032178946769,0.08892949099238914,0.8323249220848083,0.8302426338195801,0.8311721086502075
3,10.0,Metric,0.002285714285714286,0.9538735777408779,0.08914597432830634,0.9920876622200012,0.9919469952583313,0.9920125007629395
4,0.1,Central,0.0,0.2055590985523735,0.030951988251765327,0.8322049379348755,0.8304476737976074,0.8312172889709473
4,0.1,Local,0.0017142857142857142,0.21012455678685982,0.09142321506782031,0.8315842151641846,0.8300400376319885,0.8307011127471924
4,0.1,Metric,0.0,0.2397985525450686,0.033266038472045956,0.8429049253463745,0.8429239392280579,0.8428175449371338
4,1.0,Central,0.0,0.20967069816034203,0.03168902353370714,0.8319193720817566,0.8304087519645691,0.8310534954071045
4,1.0,Local,0.0005714285714285715,0.20443902951932835,0.09028879499018373,0.8318056464195251,0.8302950859069824,0.8309341669082642
4,1.0,Metric,0.0,0.2665327951673024,0.04271315707220338,0.8496569991111755,0.8501014113426208,0.8497846722602844
4,5.0,Central,0.0,0.20877871822002436,0.03333164998370038,0.8330214619636536,0.8312485814094543,0.8320193886756897
4,5.0,Local,0.002857142857142857,0.20859694807218493,0.09275946908820734,0.831529438495636,0.8304592370986938,0.8308543562889099
4,5.0,Metric,0.0034285714285714284,0.6059858608479051,0.07985670732290792,0.9138128757476807,0.9144410490989685,0.9140689373016357
4,10.0,Central,0.0,0.20673374221634475,0.03281588106868431,0.8332015872001648,0.8318919539451599,0.8324330449104309
4,10.0,Local,0.002857142857142857,0.20751494234068846,0.08836136482659813,0.8319072127342224,0.8304381966590881,0.831058919429779
4,10.0,Metric,0.0017142857142857142,0.9374982777355233,0.0911626285773402,0.9914529919624329,0.9914108514785767,0.9914270639419556
